KNN,Random Forest,Rede Neural,XGBoost,Naive Bayes
0.5203136136849608,0.5274411974340698,0.48803584156399554,0.5341614906832298,0.5326341513084207
0.5152224824355972,0.534976071683128,0.4756134813155483,0.5294776499338153,0.5358924753080134
0.5165461765604318,0.5287648915589044,0.5000509113124937,0.5365034110579371,0.5252010996843499
0.509877800407332,0.524949083503055,0.5236252545824848,0.5381873727087576,0.5324847250509165
0.5127291242362525,0.5347250509164969,0.4755600814663951,0.5279022403258656,0.5317718940936863
0.5137969656857754,0.5274411974340698,0.47591894919051014,0.5290703594338662,0.5245901639344263
0.5110477548111191,0.5321250381834843,0.4807046125649119,0.5292740046838408,0.5296812951837898
0.5129823846858772,0.5295794725588026,0.5240810508094899,0.5303940535587007,0.5342633133082171
0.5157841140529531,0.5330957230142567,0.5179226069246435,0.534928716904277,0.5379837067209776
0.5101832993890021,0.5247454175152749,0.5242362525458248,0.5347250509164969,0.5265784114052953
0.5094185928113226,0.5252010996843499,0.5239792281845026,0.5286630689339171,0.5291721820588535
0.5118623358110173,0.5311068119336116,0.4781590469402301,0.5340596680582426,0.5305976988086752
0.5145097240606863,0.533856022808268,0.4760207718154974,0.5289685368088789,0.5341614906832298
0.5110997963340123,0.5354378818737271,0.5242362525458248,0.530346232179226,0.5278004073319755
0.5133401221995927,0.5343177189409368,0.5282077393075356,0.5353360488798371,0.5365580448065174
