Logistic Regression,KNN,Random Forest,Rede Neural,XGBoost,Naive Bayes
0.5339835887908345,0.49899365226815295,0.5250038705681994,0.5154048614336585,0.5167982659854466,0.538473447902152
0.543737420653352,0.5104505341384116,0.529184084223564,0.5219074160086701,0.519894720544976,0.5387830933581049
0.5347577024307169,0.5065799659389999,0.5243845796562936,0.5233008205604582,0.510605356866388,0.538473447902152
0.527562712914215,0.5021678538247135,0.5253948590895013,0.514710436667699,0.5182719108082998,0.5216785382471353
0.5286466398265717,0.48745741715701457,0.52152369154537,0.5198203778259524,0.5080520284917931,0.5134716630535769
0.5282551478557053,0.5113794705062703,0.5194302523610466,0.5157145068896114,0.5099860659544821,0.5242297569283171
0.5330546524229757,0.505960675027094,0.5248490478402229,0.5319708933271404,0.5214429478247407,0.5330546524229757
0.5333642978789286,0.5053413841151881,0.512927697786035,0.5294937296795169,0.5178820250812819,0.5381638024461991
0.5379374419324868,0.5013936203158873,0.5260142458965624,0.5144007432641685,0.516568597088882,0.5323629606689377
0.5281820997212759,0.501858160421183,0.5204397646330133,0.519665531124187,0.5055744812635491,0.5328275007742335
0.5327450069670228,0.5079733704907881,0.5234556432884347,0.5208236569128348,0.5219074160086701,0.5318160705991639
0.5342932342467874,0.5003870568199412,0.5239201114723642,0.5141662796098467,0.5118439386901997,0.5240749342003406
0.5349125251586933,0.49992258863601174,0.5240749342003406,0.5324353615110698,0.5248490478402229,0.5350673478866698
0.5255497057912667,0.4964385258593992,0.5209043047383091,0.512852276246516,0.5134716630535769,0.5241560854753794
0.5360792815113038,0.5049550944564881,0.5168782904924125,0.5123877361412202,0.5100650356147414,0.53065964694952
